,song_name,artist_name,release_date,popularity,genres,artist_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,labels
669,到此為止,LaLa Hsu,2017-12-27,54,c-pop,63,0.0358,0.398,220893.0,0.56,1.9e-05,5,0.0863,-4.838,1,0.036000000000000004,149.811,0.3,0
670,你離開他了嗎 - 韓劇《燦爛的守護神-鬼怪》片尾曲,Pets Tseng,2017-07-02,46,mandopop,51,0.7609999999999999,0.6,261960.0,0.466,0.0,2,0.102,-7.79,1,0.0281,98.964,0.511,2
671,體面(電影《前任3:再見前任》插曲),Kelly Yu,2017-12-25,67,mainland chinese pop,57,0.421,0.36,282770.0,0.465,0.000278,10,0.109,-8.482999999999999,1,0.0337,169.845,0.205,4
672,不該,Jay Chou,2016-06-24,53,c-pop,77,0.214,0.412,291407.0,0.622,0.0,6,0.118,-6.608,0,0.0297,149.879,0.153,0
673,你啊你啊 - 電視劇「用九柑仔店」插曲,Waa Wei,2016-11-25,57,chinese indie,58,0.903,0.584,326227.0,0.187,0.0,9,0.0929,-12.514,1,0.0364,123.861,0.179,4
674,迷途羔羊,G.U.T.S,2016-01-20,52,chinese hip hop,45,0.487,0.759,271354.0,0.648,0.0004940000000000001,6,0.0974,-7.528,1,0.0489,115.987,0.452,0
675,"不曾回來過 - 電視劇""通靈少女""插曲",李千那,2017-04-01,53,mandopop,47,0.524,0.532,270654.0,0.419,1.03e-05,1,0.104,-9.18,1,0.0371,170.011,0.316,2
676,野生動物,Ronghao Li,2015-12-29,41,mainland chinese pop,64,0.643,0.6609999999999999,293795.0,0.339,2.78e-06,0,0.112,-11.075,0,0.0313,136.032,0.156,2
677,不期而遇 - 韓劇「初戀向前衝」片尾曲 Song,Rachel Liang,2016-08-16,43,mandopop,58,0.7929999999999999,0.637,243619.0,0.407,0.0,5,0.172,-8.277000000000001,1,0.0322,124.006,0.268,4
678,致姗姗来迟的你,A Si,2016-10-01,57,chinese indie,48,0.418,0.6970000000000001,246022.0,0.628,0.0,6,0.373,-7.194,0,0.0362,119.994,0.74,0
679,SPOTLIGHT,頑童Mj116,2017-11-16,54,chinese hip hop,56,0.18600000000000005,0.732,214682.0,0.7290000000000001,1.57e-05,1,0.0942,-7.1720000000000015,0,0.0813,100.037,0.234,6
680,年輪說,Rainie Yang,2016-09-30,59,c-pop,62,0.758,0.479,266453.0,0.37,0.0,4,0.134,-9.806,1,0.0521,147.995,0.318,2
681,如果再見 - 電影《極樂宿舍》主題曲 / 韓劇《龍八夷》片尾曲 / 韓劇《我女婿的女人》片尾曲 / 韓劇《請回答1988》片尾曲,WeiBird,2016-08-16,44,mandopop,53,0.584,0.36,221160.0,0.438,0.0,8,0.102,-8.72,1,0.0291,171.90400000000002,0.368,4
