,song_name,artist_name,release_date,popularity,genres,artist_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,labels
0,我們的基因,Kay Tse,2019-11-06,51,c-pop,57,0.4081281898370519,0.3697024258866305,279547.0,0.25908280239299303,0.0,0.06046208713521243,0.10537974659130726,0.6114369000874521,0,0.019387544538621727,0.41976166212771604,0.2538429254906628,2
1,忘記和記,Juno Mak,2019-10-22,50,c-pop,55,0.3591881965953056,0.3746609189101802,157156.0,0.2751934183145572,0.0,0.34432179229973314,0.03326635297698061,0.5514048632695101,0,0.022490707079121444,0.4246520763405382,0.2243544735656832,4
2,Two at a time,AGA,2019-10-30,53,c-pop,54,0.34149592975471116,0.37982710554350535,261639.0,0.2792699950326428,1.2445186944413674e-06,0.4135766040771054,0.05525663003319671,0.6269677566698777,1,0.014436416855519862,0.24378481054544368,0.18518438173287552,4
3,"讓愛高飛 - 劇集 ""多功能老婆"" 片尾曲",Pakho Chau,2019-10-14,51,c-pop,55,0.3500817384455262,0.23914034245926788,220286.0,0.1858884723858639,0.0,0.5120538879865891,0.05867567165495439,0.5880351377015836,1,0.014792186131501107,0.37870132342335455,0.1750408692227631,4
4,爸爸的禮物,Jason Chan,2019-11-15,38,c-pop,54,0.4681550453887904,0.3920377502392461,272909.0,0.27819860970585675,0.0,0.1399070048038936,0.16368586479061303,0.6231069462120326,0,0.01616650516450499,0.3067124494117882,0.1441513377168362,2
5,富上代,Dear Jane,2019-10-31,44,c-pop,54,0.0005894965993398363,0.15867283465563928,250185.0,0.3517329709394357,0.0003119419504839967,0.5611736920758719,0.0436227483511479,0.6168730119353051,0,0.02073063041011758,0.3727707374236526,0.1198643085324334,0
6,願榮光歸香港,湯瑪士＆眾香港人,2019-09-14,57,none,0,0.5525666113107298,0.18857431973302685,105714.0,0.24046880307041024,7.820717911408477e-06,0.0,0.2163488319417673,0.5924333241855761,1,0.021707974015778675,0.33518282547124056,0.3011341850000273,2
7,切膚之愛,JUDE,2019-09-25,47,cantopop,36,0.4722569593837123,0.30887221671184123,231986.0,0.25171642333899585,0.0,0.1199111638968737,0.059465118357606817,0.6196052307617398,1,0.016742606139520364,0.4500044209224021,0.1166209117304522,2
8,逃生門,JW,2019-07-30,53,cantopop,49,0.3787815085892251,0.23653866359158363,283800.0,0.2823547110440075,0.0,0.33195176249338393,0.06446211327608473,0.6108846877629982,1,0.02360059188537647,0.41898405470439976,0.23920238728067802,4
9,說分手,Shiga Lin,2019-11-12,44,c-pop,50,0.16499132552750245,0.28712013588237967,263875.0,0.4538729346361544,0.0,0.3048802949336144,0.05108272356189577,0.6413321017255063,1,0.021489973360521667,0.30642362187595856,0.2882944513665612,0
10,我們與愛的距離,Alfred Hui,2019-08-06,50,c-pop,52,0.28181484647452704,0.2754306913763986,231265.0,0.2120451514735519,0.0,0.5209219272192336,0.06612160637347317,0.6166033514804198,1,0.014820360049226745,0.29990118335969557,0.231653627846375,4
11,幸福相擁,Jill Vidal,2019-09-11,50,cantopop,42,0.14428298609102166,0.3275096100207704,240331.0,0.39965110306628127,0.0,0.06629965104677502,0.07533359450770157,0.6150890935618384,1,0.018450346451462502,0.5187997306327825,0.23302340673992436,6
12,拾荒者之歌,黎曉陽,2019-11-04,40,cantopop,31,0.41263967189015227,0.3250736950064863,233334.0,0.15593941088872038,2.836897744244797e-05,0.4359986465013817,0.12775036353575936,0.5629222545606771,1,0.018712729306646442,0.3946085202325055,0.14274453765967476,4
13,你可能未必不喜歡我,Alfred Hui,2019-10-29,45,c-pop,52,0.5465120790621729,0.378354516273812,285303.0,0.20114231548915476,0.00018950063806534516,0.20149713282922527,0.05238754840714321,0.606164060929725,1,0.02696988603182558,0.2730797270050247,0.17785896064153559,2
14,逃生門 (feat. 王灝兒) - 門外版,Endy Chow,2019-11-13,48,c-pop,50,0.39162528694749316,0.3366603343934591,269236.0,0.272950957569465,0.0,0.06486460012205651,0.05465265168724984,0.5849316722400068,1,0.05390312960696757,0.5070494203138609,0.22235821715041082,2
15,望,Charmaine Fong,2019-10-03,49,c-pop,50,0.3492376370391844,0.3220851129798376,250903.0,0.16057440952337837,6.881760408144787e-07,0.5347852970317428,0.06319984048296233,0.593105929382532,1,0.014840258839332637,0.2957248124020927,0.1381033551294362,4
16,七折,Jason Chan,2019-08-07,49,c-pop,54,0.3541168188900988,0.4364391790010811,255789.0,0.24696708033294712,0.0,0.13570061726322202,0.1221768360377278,0.5980529938967997,1,0.022475311014426933,0.41727745562310803,0.23978020762484556,2
17,講,Jace Chan,2019-11-07,39,hong kong hip hop,29,0.4309652906671344,0.3353280555676317,190968.0,0.24805907853933534,1.578014379141796e-06,0.43451985828293516,0.05457299727865377,0.5909112091869898,0,0.01715492904597331,0.30495332841141126,0.077705253518346,4
18,一秒,Mag Lam,2019-10-23,45,cantopop,45,0.5054030970542998,0.28142422740681444,240919.0,0.3110172904949537,6.556894370509285e-07,0.0,0.11489071551865826,0.6228932910901863,0,0.02187565643966372,0.30531479023984354,0.27155987304410134,2
19,愛沒懷疑,Deep Ng,2019-11-14,40,c-pop,42,0.44551801136645275,0.27800323909266655,240218.0,0.34096978469912514,0.0,0.06168911825749047,0.05631347663671962,0.6191916009888417,1,0.02001860931073261,0.4241703102121828,0.19305780492546287,2
