song_name,artist_name,release_date,popularity,genres,artist_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
良品,Jolie Chan,2019-09-20,42,none,39,0.502,0.41700000000000004,260628.0,0.32899999999999996,0.0,6,0.0865,-11.105,1,0.0359,123.633,0.397
明明他已離開妳,Hins Cheung,2018-12-21,48,c-pop,62,0.652,0.495,289213.0,0.41100000000000003,0.0,9,0.126,-9.875,1,0.03,119.775,0.273
在錯誤的宇宙尋找愛,陳健安,2019-06-10,47,cantopop,40,0.615,0.509,277767.0,0.501,5.92e-06,6,0.0991,-8.547,1,0.0382,139.825,0.248
情感的廢墟,Juno Mak,2019-07-17,54,c-pop,55,0.336,0.652,238506.0,0.674,0.0,11,0.106,-5.849,1,0.0329,132.02100000000002,0.295
永恆少年,曾樂彤,2019-09-25,44,cantopop,36,0.648,0.595,201618.0,0.43700000000000006,0.0,3,0.0921,-7.4479999999999995,1,0.0282,78.033,0.462
活多一次,Justin Lo,2019-08-09,44,c-pop,52,0.7120000000000001,0.597,249868.0,0.38299999999999995,0.0,1,0.16399999999999998,-11.136,1,0.0505,149.96,0.382
若然冬天沒有花,梁釗峰,2018-12-18,42,cantopop,40,0.276,0.552,297000.0,0.562,0.0,1,0.0978,-7.546,1,0.0371,81.032,0.384
點滴 (2019),Supper Moment,2019-09-25,42,cantopop,51,0.00987,0.423,269899.0,0.914,3.6099999999999997e-05,2,0.345,-4.468,1,0.0584,144.922,0.335
2084,Dear Jane,2019-07-08,52,c-pop,54,0.132,0.361,316991.0,0.846,6.53e-05,4,0.28600000000000003,-3.717,1,0.0337,104.932,0.44299999999999995
13樓的大笨象,Stephanie Cheng,2019-02-15,51,c-pop,47,0.344,0.423,293008.0,0.721,0.0,1,0.0799,-5.837999999999999,1,0.0425,168.046,0.48200000000000004
百年樹木,Hins Cheung,2018-10-15,48,c-pop,62,0.575,0.47200000000000003,314412.0,0.327,0.0,0,0.111,-8.567,1,0.0338,140.33700000000002,0.305
Tonight,AGA,2019-04-10,49,c-pop,54,0.677,0.369,278573.0,0.485,0.0,2,0.156,-6.172999999999999,1,0.0282,132.069,0.42100000000000004
龍舌蘭,Eason Chan,2018-11-19,47,c-pop,69,0.485,0.502,285280.0,0.583,2.44e-06,6,0.124,-7.327000000000001,0,0.0343,135.931,0.215
在月台上等你,Janice Vidal,2018-11-07,50,c-pop,56,0.431,0.46,248589.0,0.688,0.0,6,0.139,-4.527,1,0.0448,133.44,0.46299999999999997
下一束光,吳林峰,2019-08-12,41,none,29,0.9059999999999999,0.615,316696.0,0.21,0.0,11,0.124,-13.077,0,0.0481,131.569,0.265
everything i wanted,Billie Eilish,2019-11-13,97,electropop,97,0.902,0.7040000000000001,245426.0,0.225,0.657,6,0.106,-14.454,0,0.0994,120.006,0.243
Lose You To Love Me,Selena Gomez,2019-10-23,99,dance pop,93,0.5760000000000001,0.505,206459.0,0.34,0.0,4,0.21,-9.005,1,0.0438,101.993,0.0916
說好不哭,Jay Chou,2019-09-17,65,c-pop,77,0.478,0.542,222333.0,0.35100000000000003,1.47e-06,10,0.0837,-11.849,1,0.0317,75.858,0.324
Heartless,The Weeknd,2019-11-27,87,canadian contemporary r&b,92,0.00632,0.531,200080.0,0.75,7.6e-05,10,0.11699999999999999,-5.831,0,0.111,169.954,0.198
Make It Right (feat. Lauv),BTS,2019-10-18,88,k-pop,92,0.0304,0.584,226321.0,0.685,0.0,7,0.18899999999999997,-7.811,1,0.425,97.551,0.345
ROXANNE,Arizona Zervas,2019-10-10,95,pop rap,86,0.0522,0.621,163636.0,0.601,0.0,6,0.46,-5.6160000000000005,0,0.14800000000000002,116.735,0.457
Mean It,Lauv,2019-11-14,88,pop,90,0.0407,0.746,232853.0,0.45,0.0,7,0.172,-8.543,1,0.0872,95.99799999999999,0.336
Takeaway,The Chainsmokers,2019-11-08,85,electropop,90,0.12,0.294,209893.0,0.505,0.0,3,0.0977,-8.106,1,0.042,85.33200000000001,0.35700000000000004
Don't Start Now,Dua Lipa,2019-10-31,96,dance pop,91,0.0125,0.794,183290.0,0.7929999999999999,0.0,11,0.0952,-4.521,0,0.0842,123.941,0.677
Lover (Remix) [feat. Shawn Mendes],Taylor Swift,2019-11-13,88,pop,95,0.433,0.44799999999999995,221307.0,0.603,0.0,7,0.0862,-7.176,1,0.064,205.27200000000002,0.42200000000000004
"10,000 Hours (with Justin Bieber)",Dan + Shay,2019-10-04,95,contemporary country,86,0.153,0.654,167693.0,0.63,0.0,10,0.111,-4.644,1,0.0259,89.991,0.43
Memories,Maroon 5,2019-09-20,100,pop,93,0.8370000000000001,0.764,189486.0,0.32,0.0,11,0.0822,-7.209,1,0.0546,91.01899999999999,0.575
